"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2011-12-12T16:11:32"	"1323706292"	"Mr Vain"	"a9ed0ddc-d56c-49e8-9c67-b071b10b12e8"	"Culture Beat"	"97c30dea-ca61-4efe-be4c-3d56de7900db"	"Mr Vain"	"a9ed0ddc-d56c-49e8-9c67-b071b10b12e8"	"Culture Beat"	"97c30dea-ca61-4efe-be4c-3d56de7900db"	"Serenity"	"090a11b8-8fef-45a3-bd9f-8d68075b5bc7"	"Culture Beat"	"97c30dea-ca61-4efe-be4c-3d56de7900db"
"2011-12-16T18:16:13"	"1324059373"	"She"	""	"Edie Brickell and New Bohemians"	""	"She"	""	"Edie Brickell and New Bohemians"	""	""	""	""	""
"2011-12-18T21:45:21"	"1324244721"	"Three Wishes"	"1da89c7a-aab6-465b-8f01-8858f608f2a0"	"Roger Waters"	"0f50beab-d77d-4f0f-ac26-0b87d3e9b11b"	"Three Wishes"	"1da89c7a-aab6-465b-8f01-8858f608f2a0"	"Roger Waters"	"0f50beab-d77d-4f0f-ac26-0b87d3e9b11b"	"Amused To Death"	"88b29a3e-a633-32f3-948e-126816c0cae9"	"Roger Waters"	"0f50beab-d77d-4f0f-ac26-0b87d3e9b11b"
"2012-01-03T14:20:39"	"1325600439"	"Cool Town"	"4fd826c6-3693-4452-bdd7-4c35b6b78888"	"Chieli Minucci"	"bd8dc267-1bb6-4040-a0d7-90ea9fe18f82"	"Cool Town"	"4fd826c6-3693-4452-bdd7-4c35b6b78888"	"Chieli Minucci"	"bd8dc267-1bb6-4040-a0d7-90ea9fe18f82"	"it's Gonna Be Good"	"aeb8951d-3f21-4721-9b3e-53ac3a978963"	"Chieli Minucci"	"bd8dc267-1bb6-4040-a0d7-90ea9fe18f82"
"2012-01-03T14:58:25"	"1325602705"	"Hypnotic"	"56a36fb1-f54e-4e81-b799-7e240717c677"	"Boney James"	"7ef63058-495c-42a1-b326-ddbea57fe1b5"	"Hypnotic"	"56a36fb1-f54e-4e81-b799-7e240717c677"	"Boney James"	"7ef63058-495c-42a1-b326-ddbea57fe1b5"	"Shine"	"4ce8dd59-d46e-425a-995e-42590ff759f3"	"Boney James"	"7ef63058-495c-42a1-b326-ddbea57fe1b5"
"2012-01-03T15:08:19"	"1325603299"	"Kärlekens tunga"	"92f221a4-a46e-4d61-9713-89d8265ff75a"	"September"	"173138d8-81e0-4255-accf-23de62d89fcf"	"Kärlekens tunga"	"92f221a4-a46e-4d61-9713-89d8265ff75a"	"September"	"173138d8-81e0-4255-accf-23de62d89fcf"	""	""	""	""
"2012-01-03T15:08:19"	"1325603299"	"I Hear You Now"	"ea5042d8-d377-4780-b7ff-ce377085ca1a"	"Jon & Vangelis"	"0f00e65c-50dd-4732-86a5-5f7b5d8a61ac"	"I Hear You Now"	"ea5042d8-d377-4780-b7ff-ce377085ca1a"	"Jon & Vangelis"	"0f00e65c-50dd-4732-86a5-5f7b5d8a61ac"	"Chronicles"	"c868a1ef-1acd-4639-b60c-dd05033ebe4b"	"Jon & Vangelis"	"0f00e65c-50dd-4732-86a5-5f7b5d8a61ac"
"2012-01-03T16:56:53"	"1325609813"	"The Portrait Gallery"	"74411490-9b3c-4cd4-8811-fc524598f220"	"John Williams"	"044736f4-188e-47df-9ad9-a0e136ba67d2"	"The Portrait Gallery"	"74411490-9b3c-4cd4-8811-fc524598f220"	"John Williams"	"044736f4-188e-47df-9ad9-a0e136ba67d2"	"Harry Potter and the Prisoner of Azkaban"	"ca735b6e-b0d6-38d1-8d6c-34e80198a60c"	"John Williams"	"044736f4-188e-47df-9ad9-a0e136ba67d2"
"2012-01-04T10:51:46"	"1325674306"	"Guitarland"	"3b56e94c-8dfa-4a67-a152-fcb14dd699f0"	"Russ Freeman"	"a5124554-0dcb-42fc-9b28-8b3c52ad8358"	"Guitarland"	"3b56e94c-8dfa-4a67-a152-fcb14dd699f0"	"Russ Freeman"	"a5124554-0dcb-42fc-9b28-8b3c52ad8358"	"Drive"	"98a1c3ef-5390-45c9-9e46-c5721d264878"	"Russ Freeman"	"a5124554-0dcb-42fc-9b28-8b3c52ad8358"
"2012-01-06T12:52:43"	"1325854363"	"Hunter"	"af17042d-be2a-4515-a8c7-205c6602b63c"	"Björk"	"87c5dedd-371d-4a53-9f7f-80522fb7f3cb"	"Hunter"	"af17042d-be2a-4515-a8c7-205c6602b63c"	"Björk"	"87c5dedd-371d-4a53-9f7f-80522fb7f3cb"	"Homogenic"	"cfbb2f15-835b-4bee-abc1-df30d7e3a381"	"Björk"	"87c5dedd-371d-4a53-9f7f-80522fb7f3cb"
