"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2010-11-15T14:00:34"	"1289829634"	"Lonely"	""	"Valeria"	"8e07b4f5-0db3-4395-8fef-fc678a19be6c"	"Lonely"	""	"Valeria"	"8e07b4f5-0db3-4395-8fef-fc678a19be6c"
"2010-11-15T14:19:31"	"1289830771"	"Yamunashtak 2"	"20d6736a-6a36-49cf-aa41-85688e4e450d"	"Alka Yagnik"	"52cf0679-e1cf-42ca-b9b5-86e018b36d91"	"Yamunashtak 2"	"20d6736a-6a36-49cf-aa41-85688e4e450d"	"Alka Yagnik"	"52cf0679-e1cf-42ca-b9b5-86e018b36d91"
"2010-11-15T14:43:38"	"1289832218"	"So Painfully"	""	"Valeria"	"8e07b4f5-0db3-4395-8fef-fc678a19be6c"	"So Painfully"	""	"Valeria"	"8e07b4f5-0db3-4395-8fef-fc678a19be6c"
"2010-11-15T14:59:51"	"1289833191"	"Yamunashtak 3"	"62317bed-a825-400d-96eb-1794fb959823"	"Alka Yagnik"	"52cf0679-e1cf-42ca-b9b5-86e018b36d91"	"Yamunashtak 3"	"62317bed-a825-400d-96eb-1794fb959823"	"Alka Yagnik"	"52cf0679-e1cf-42ca-b9b5-86e018b36d91"
"2010-11-18T15:58:54"	"1290095934"	"Kill With Your Smile"	"552aa119-ec95-4c2a-8e59-c1335cefc35f"	"Mark Owen"	"dd623af1-5e1d-4dd3-b480-98ce8d4f5178"	"Kill With Your Smile"	"552aa119-ec95-4c2a-8e59-c1335cefc35f"	"Mark Owen"	"dd623af1-5e1d-4dd3-b480-98ce8d4f5178"
"2010-11-18T16:03:25"	"1290096205"	"Night Life"	"15aaa95e-40ed-4c22-a1b5-4908cbabf7fc"	"Scissor Sisters"	"4236d929-9a81-4c8e-97c3-8d3306780f50"	"Night Life"	"15aaa95e-40ed-4c22-a1b5-4908cbabf7fc"	"Scissor Sisters"	"4236d929-9a81-4c8e-97c3-8d3306780f50"
"2010-11-25T11:59:22"	"1290686362"	"Solitude"	"5a0b2b4a-3b56-48f7-950b-c5b491e3a208"	"Karunesh"	"bf35e4fb-d6d9-42aa-a60e-822960444c6e"	"Solitude"	"5a0b2b4a-3b56-48f7-950b-c5b491e3a208"	"Karunesh"	"bf35e4fb-d6d9-42aa-a60e-822960444c6e"
"2010-12-02T11:14:32"	"1291288472"	"Vivi L'Avventura"	"4ac471cc-828e-4355-91da-176ebba735bf"	"Biagio Antonacci"	"b7c5cc40-c061-44ed-8b2b-d0ff774603c8"	"Vivi L'Avventura"	"4ac471cc-828e-4355-91da-176ebba735bf"	"Biagio Antonacci"	"b7c5cc40-c061-44ed-8b2b-d0ff774603c8"
"2010-12-09T09:43:55"	"1291887835"	"Wooden Boat"	"01426f45-f080-479d-80a5-f68d396830c5"	"Take That"	"24d2505b-388c-46cc-8a64-48223ea6d78d"	"Wooden Boat"	"01426f45-f080-479d-80a5-f68d396830c5"	"Take That"	"24d2505b-388c-46cc-8a64-48223ea6d78d"
"2010-12-09T12:47:46"	"1291898866"	"Intro (Back to Basics)"	"9ffb2957-6fa2-4833-9097-3ecbfa1b2879"	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"	"Intro (Back to Basics)"	"9ffb2957-6fa2-4833-9097-3ecbfa1b2879"	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"
